step,potential_energy,temperature
1000,-2523.0000000000045,1.0995005000000002
2000,-2685.4000000000046,1.0990005
3000,-2813.000000000007,1.0985005
4000,-2847.800000000004,1.0980005000000002
5000,-2888.4000000000074,1.0975005000000002
6000,-3027.6000000000085,1.0970005
7000,-2871.0000000000073,1.0965004999999999
8000,-2876.800000000007,1.0960005000000002
9000,-2865.2000000000094,1.0955005
10000,-2963.80000000001,1.0950005
11000,-2992.80000000001,1.0945004999999999
12000,-2975.400000000011,1.0940005000000002
13000,-2894.2000000000085,1.0935005
14000,-2871.000000000006,1.0930005
15000,-3021.800000000009,1.0925004999999999
16000,-2876.800000000007,1.0920005000000002
17000,-2929.000000000009,1.0915005
18000,-2963.8000000000075,1.0910005
19000,-2905.800000000007,1.0905005
20000,-2946.4000000000115,1.0900005
21000,-2871.0000000000105,1.0895005000000002
22000,-2876.8000000000065,1.0890005
23000,-2900.0000000000086,1.0885005
24000,-2830.4000000000087,1.0880005000000001
25000,-2952.2000000000094,1.0875005000000002
26000,-2934.8000000000116,1.0870005
27000,-2969.600000000006,1.0865005
28000,-2894.2000000000094,1.0860005000000001
29000,-3021.8000000000084,1.0855005000000002
30000,-2992.8000000000084,1.0850005
31000,-2934.80000000001,1.0845005
32000,-2871.000000000008,1.0840005000000001
33000,-2929.000000000007,1.0835005
34000,-2998.600000000009,1.0830005
35000,-3033.4000000000055,1.0825005
36000,-2963.800000000009,1.0820005
37000,-2992.800000000011,1.0815005
38000,-2917.4000000000083,1.0810005
39000,-2958.0000000000095,1.0805005
40000,-2929.0000000000105,1.0800005
41000,-2911.6000000000095,1.0795005
42000,-3033.4000000000087,1.0790005
43000,-3108.8000000000106,1.0785005
44000,-2934.800000000006,1.0780005000000001
45000,-2952.2000000000094,1.0775005
46000,-3004.4000000000087,1.0770005
47000,-2865.200000000009,1.0765005
48000,-3137.8000000000125,1.0760005000000001
49000,-2975.4000000000083,1.0755005000000002
50000,-3161.0000000000105,1.0750005
51000,-2992.800000000007,1.0745005
52000,-2940.600000000007,1.0740005
53000,-2958.000000000011,1.0735005000000002
54000,-2940.6000000000076,1.0730005
55000,-2992.8000000000106,1.0725005
56000,-3010.2000000000107,1.0720005000000001
57000,-3079.8000000000093,1.0715005
58000,-3068.2000000000075,1.0710005
59000,-2987.0000000000077,1.0705005
60000,-3039.200000000008,1.0700005
61000,-3079.800000000008,1.0695005000000002
62000,-3172.600000000012,1.0690005
63000,-3027.60000000001,1.0685005
64000,-3050.8000000000097,1.0680005
65000,-3091.4000000000115,1.0675005000000002
66000,-3178.4000000000124,1.0670005
67000,-3166.8000000000097,1.0665005
68000,-3108.8000000000097,1.0660005
69000,-3016.0000000000127,1.0655005000000002
70000,-3190.0000000000095,1.0650005
71000,-3097.2000000000116,1.0645005
72000,-2981.2000000000103,1.0640005
73000,-3091.4000000000087,1.0635005000000002
74000,-3027.600000000012,1.0630005
75000,-3091.4000000000096,1.0625005
76000,-3074.000000000012,1.0620005
77000,-3021.800000000007,1.0615005000000002
78000,-3062.400000000009,1.0610005
79000,-3050.80000000001,1.0605005
80000,-3132.0000000000095,1.0600005000000001
81000,-3033.4000000000074,1.0595005
82000,-3033.400000000009,1.0590005
83000,-3027.6000000000085,1.0585005
84000,-3166.800000000011,1.0580005
85000,-3201.600000000007,1.0575005000000002
86000,-3103.000000000007,1.0570005
87000,-3143.600000000009,1.0565005
88000,-3137.8000000000084,1.0560005000000001
89000,-3166.80000000001,1.0555005
90000,-3143.6000000000095,1.0550005
91000,-3259.6000000000113,1.0545005
92000,-3172.6000000000095,1.0540005000000001
93000,-3213.2000000000094,1.0535005
94000,-3288.6000000000113,1.0530005
95000,-3242.200000000011,1.0525005
96000,-3155.2000000000094,1.0520005000000001
97000,-3161.000000000009,1.0515005
98000,-3137.8000000000106,1.0510005
99000,-3166.80000000001,1.0505005
100000,-3219.000000000011,1.0500005000000001
101000,-3166.8000000000075,1.0495005000000002
102000,-3155.2000000000103,1.0490005
103000,-3201.600000000013,1.0485005
104000,-3166.800000000011,1.0480005000000001
105000,-3282.800000000012,1.0475005
106000,-3323.4000000000156,1.0470005
107000,-3242.2000000000153,1.0465005
108000,-3340.800000000017,1.0460004999999999
109000,-3248.0000000000155,1.0455005000000002
110000,-3213.2000000000144,1.0450005
111000,-3311.800000000016,1.0445005
112000,-3253.800000000014,1.0440005
113000,-3317.6000000000154,1.0435005
114000,-3265.400000000012,1.0430005
115000,-3224.8000000000134,1.0425005
116000,-3306.0000000000146,1.0420005
117000,-3178.4000000000133,1.0415005000000002
118000,-3340.800000000014,1.0410005
119000,-3317.600000000014,1.0405005
120000,-3329.200000000012,1.0400005
121000,-3306.0000000000123,1.0395005
122000,-3352.400000000013,1.0390005
123000,-3398.8000000000147,1.0385005
124000,-3456.8000000000116,1.0380005
125000,-3358.2000000000116,1.0375005000000002
126000,-3364.0000000000136,1.0370005
127000,-3300.200000000011,1.0365005
128000,-3445.2000000000103,1.0360005
129000,-3398.800000000011,1.0355005
130000,-3398.800000000012,1.0350005
131000,-3381.400000000014,1.0345005
132000,-3311.800000000011,1.0340005
133000,-3340.8000000000134,1.0335005000000002
134000,-3335.0000000000127,1.0330005
135000,-3352.400000000011,1.0325005
136000,-3364.000000000014,1.0320005
137000,-3329.2000000000135,1.0315005
138000,-3445.200000000013,1.0310005
139000,-3433.6000000000145,1.0305005
140000,-3398.8000000000134,1.0300005
141000,-3329.200000000009,1.0295005000000002
142000,-3410.400000000014,1.0290005
143000,-3404.6000000000117,1.0285005
144000,-3387.2000000000103,1.0280005
145000,-3381.4000000000133,1.0275005
146000,-3375.600000000013,1.0270005
